num	old_strain	sample	IPTG	time	medium
165	277DthrABCDasdDmetL pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DmetL_I_4p5_M1	I	4.5	M1
166	277DthrABCDasdDmetL pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DmetL_I_6_M1	I	6	M1
167	277DthrABCDasdDmetL pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DmetL_I_12_M1	I	12	M1
168	277DthrABCDasdDmetL pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DmetL_I_24_M1	I	24	M1
169	277DthrABCDasdDptsG pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DptsG_0_4p5_M1	0	4.5	M1
170	277DthrABCDasdDptsG pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DptsG_0_6_M1	0	6	M1
171	277DthrABCDasdDptsG pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DptsG_0_12_M1	0	12	M1
172	277DthrABCDasdDptsG pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DptsG_0_24_M1	0	24	M1
173	277DthrABCDasdDptsG pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DptsG_I_4p5_M1	I	4.5	M1
174	277DthrABCDasdDptsG pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DptsG_I_6_M1	I	6	M1
175	277DthrABCDasdDptsG pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DptsG_I_12_M1	I	12	M1
176	277DthrABCDasdDptsG pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DptsG_I_24_M1	I	24	M1
177	277DthrABCDasdDrhtA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DrhtA_0_4p5_M1	0	4.5	M1
178	277DthrABCDasdDrhtA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DrhtA_0_6_M1	0	6	M1
179	277DthrABCDasdDrhtA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DrhtA_0_12_M1	0	12	M1
180	277DthrABCDasdDrhtA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DrhtA_0_24_M1	0	24	M1
181	277DthrABCDasdDrhtA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DrhtA_I_4p5_M1	I	4.5	M1
182	277DthrABCDasdDrhtA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DrhtA_I_6_M1	I	6	M1
183	277DthrABCDasdDrhtA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DrhtA_I_12_M1	I	12	M1
184	277DthrABCDasdDrhtA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DrhtA_I_24_M1	I	24	M1
185	277DthrABCDasdDtdh pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_Dtdh_0_4p5_M1	0	4.5	M1
186	277DthrABCDasdDtdh pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_Dtdh_0_6_M1	0	6	M1
187	277DthrABCDasdDtdh pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_Dtdh_0_12_M1	0	12	M1
188	277DthrABCDasdDtdh pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_Dtdh_0_24_M1	0	24	M1
189	277DthrABCDasdDtdh pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_Dtdh_I_4p5_M1	I	4.5	M1
190	277DthrABCDasdDtdh pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_Dtdh_I_6_M1	I	6	M1
191	277DthrABCDasdDtdh pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_Dtdh_I_12_M1	I	12	M1
192	277DthrABCDasdDtdh pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_Dtdh_I_24_M1	I	24	M1
193	277DthrABCDasdDtdhDdapA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DtdhDdapA_0_4p5_M1	0	4.5	M1
194	277DthrABCDasdDtdhDdapA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DtdhDdapA_0_6_M1	0	6	M1
195	277DthrABCDasdDtdhDdapA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DtdhDdapA_0_12_M1	0	12	M1
196	277DthrABCDasdDtdhDdapA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DtdhDdapA_0_24_M1	0	24	M1
197	277DthrABCDasdDtdhDdapA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DtdhDdapA_I_4p5_M1	I	4.5	M1
198	277DthrABCDasdDtdhDdapA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DtdhDdapA_I_6_M1	I	6	M1
199	277DthrABCDasdDtdhDdapA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DtdhDdapA_I_12_M1	I	12	M1
200	277DthrABCDasdDtdhDdapA pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DtdhDdapA_I_24_M1	I	24	M1
201	277DthrABCDasdDtdhDlysC pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DtdhDlysC_0_4p5_M1	0	4.5	M1
202	277DthrABCDasdDtdhDlysC pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DtdhDlysC_0_6_M1	0	6	M1
203	277DthrABCDasdDtdhDlysC pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DtdhDlysC_0_12_M1	0	12	M1
204	277DthrABCDasdDtdhDlysC pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DtdhDlysC_0_24_M1	0	24	M1
205	277DthrABCDasdDtdhDlysC pwt2.1.1 +rhtA	7_D_Tasd_P_asdD_rhtA_DtdhDlysC_I_4p5_M1	I	4.5	M1
